Area code;Area name;"Asian, Asian British or Asian Welsh: Bangladeshi
(number)";"Asian, Asian British or Asian Welsh: Chinese
(number)";"Asian, Asian British or Asian Welsh: Indian
(number)";"Asian, Asian British or Asian Welsh: Pakistani
(number)";"Asian, Asian British or Asian Welsh: Other Asian
(number)";"Black, Black British, Black Welsh, Caribbean or African: African
(number)";"Black, Black British, Black Welsh, Caribbean or African: Caribbean
(number)";"Black, Black British, Black Welsh, Caribbean or African: Other Black
(number)";"Mixed or Multiple ethnic groups: White and Asian
(number)";"Mixed or Multiple ethnic groups: White and Black African
(number)";"Mixed or Multiple ethnic groups: White and Black Caribbean
(number)";"Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
(number)";"White: English, Welsh, Scottish, Northern Irish or British
(number)";"White: Irish
(number)";"White: Gypsy or Irish Traveller
(number)";"White: Roma
(number)";"White: Other White
(number)";"Other ethnic group: Arab
(number)";"Other ethnic group: Any other ethnic group
(number)";Asian, Asian British or Asian Welsh: Bangladesh;Asian, Asian British or Asian Welsh: Chinese;Asian, Asian British or Asian Welsh: Indian;Asian, Asian British or Asian Welsh: Pakistani;Asian, Asian British or Asian Welsh: Other Asian;Black, Black British, Black Welsh, Caribbean or African: African;Black, Black British, Black Welsh, Caribbean or African: Caribbean;Black, Black British, Black Welsh, Caribbean or African: Other Black;Mixed or Multiple ethnic groups: White and Asian;Mixed or Multiple ethnic groups: White and Black African ;Mixed or Multiple ethnic groups: White and Black Caribbean;Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups;"White: English, Welsh, Scottish, Northern Irish or British
(percent)";"White: Irish
(percent)";"White: Gypsy or Irish Traveller
(percent)";"White: Roma
(percent)";"White: Other White
(percent)";Other ethnic group: Arab;Other ethnic group: Any other ethnic group
E06000051;Shropshire; 237 ; 909 ; 1.614 ; 443 ; 1.121 ; 576 ; 300 ; 241 ; 1.259 ; 400 ; 1.126 ; 1.076 ; 301.918 ; 1.506 ; 349 ; 158 ; 8.945 ; 386 ; 1.043 ; 0,1 ; 0,3 ; 0,5 ; 0,1 ; 0,3 ; 0,2 ; 0,1 ; 0,1 ; 0,4 ; 0,1 ; 0,3 ; 0,3 ; 93,3 ; 0,5 ; 0,1 ; -   ; 2,8 ; 0,1 ; 0,3 
E06000052;Cornwall; 319 ; 1.033 ; 784 ; 233 ; 1.663 ; 574 ; 302 ; 182 ; 2.446 ; 895 ; 1.693 ; 1.996 ; 533.882 ; 2.455 ; 717 ; 289 ; 14.787 ; 298 ; 5.757 ; 0,1 ; 0,2 ; 0,1 ; -   ; 0,3 ; 0,1 ; 0,1 ; -   ; 0,4 ; 0,2 ; 0,3 ; 0,3 ; 93,6 ; 0,4 ; 0,1 ; 0,1 ; 2,6 ; 0,1 ; 1,0 
E06000053;Isles of Scilly; -   ; 1 ; -   ; -   ; 5 ; 2 ; 2 ; -   ; 8 ; 8 ; 2 ; 5 ; 1.926 ; 9 ; 1 ; -   ; 68 ; -   ; 18 ; -   ; -   ; -   ; -   ; 0,2 ; 0,1 ; 0,1 ; -   ; 0,4 ; 0,4 ; 0,1 ; 0,2 ; 93,7 ; 0,4 ; -   ; -   ; 3,3 ; -   ; 0,9 
E06000054;Wiltshire; 934 ; 1.494 ; 2.810 ; 396 ; 5.242 ; 2.984 ; 1.589 ; 1.213 ; 2.703 ; 1.161 ; 2.479 ; 2.366 ; 459.594 ; 2.591 ; 711 ; 260 ; 18.257 ; 637 ; 2.912 ; 0,2 ; 0,3 ; 0,6 ; 0,1 ; 1,0 ; 0,6 ; 0,3 ; 0,2 ; 0,5 ; 0,2 ; 0,5 ; 0,5 ; 90,1 ; 0,5 ; 0,1 ; 0,1 ; 3,6 ; 0,1 ; 0,6 
E06000055;Bedford; 4.486 ; 756 ; 10.074 ; 5.297 ; 2.650 ; 5.448 ; 3.227 ; 1.173 ; 2.146 ; 939 ; 3.638 ; 1.863 ; 118.779 ; 1.798 ; 208 ; 483 ; 18.906 ; 557 ; 2.796 ; 2,4 ; 0,4 ; 5,4 ; 2,9 ; 1,4 ; 2,9 ; 1,7 ; 0,6 ; 1,2 ; 0,5 ; 2,0 ; 1,0 ; 64,1 ; 1,0 ; 0,1 ; 0,3 ; 10,2 ; 0,3 ; 1,5 
E06000056;Central Bedfordshire; 572 ; 1.368 ; 4.684 ; 1.312 ; 2.385 ; 3.942 ; 2.148 ; 928 ; 2.572 ; 1.095 ; 3.121 ; 2.097 ; 245.769 ; 3.527 ; 436 ; 297 ; 15.516 ; 493 ; 1.989 ; 0,2 ; 0,5 ; 1,6 ; 0,4 ; 0,8 ; 1,3 ; 0,7 ; 0,3 ; 0,9 ; 0,4 ; 1,1 ; 0,7 ; 83,5 ; 1,2 ; 0,1 ; 0,1 ; 5,3 ; 0,2 ; 0,7 
E06000057;Northumberland; 302 ; 521 ; 1.183 ; 514 ; 854 ; 400 ; 124 ; 74 ; 1.033 ; 440 ; 456 ; 628 ; 308.015 ; 910 ; 176 ; 62 ; 3.864 ; 268 ; 742 ; 0,1 ; 0,2 ; 0,4 ; 0,2 ; 0,3 ; 0,1 ; -   ; -   ; 0,3 ; 0,1 ; 0,1 ; 0,2 ; 96,1 ; 0,3 ; 0,1 ; -   ; 1,2 ; 0,1 ; 0,2 
E06000058;Bournemouth, Christchurch and Poole; 1.219 ; 2.569 ; 4.678 ; 596 ; 4.489 ; 2.833 ; 917 ; 483 ; 3.213 ; 1.839 ; 2.660 ; 3.381 ; 329.609 ; 2.611 ; 489 ; 864 ; 31.937 ; 1.371 ; 4.437 ; 0,3 ; 0,6 ; 1,2 ; 0,1 ; 1,1 ; 0,7 ; 0,2 ; 0,1 ; 0,8 ; 0,5 ; 0,7 ; 0,8 ; 82,4 ; 0,7 ; 0,1 ; 0,2 ; 8,0 ; 0,3 ; 1,1 
E06000059;Dorset; 463 ; 815 ; 926 ; 242 ; 1.859 ; 605 ; 296 ; 181 ; 1.635 ; 601 ; 1.011 ; 1.189 ; 356.270 ; 1.917 ; 580 ; 161 ; 9.487 ; 223 ; 1.119 ; 0,1 ; 0,2 ; 0,2 ; 0,1 ; 0,5 ; 0,2 ; 0,1 ; -   ; 0,4 ; 0,2 ; 0,3 ; 0,3 ; 93,9 ; 0,5 ; 0,2 ; -   ; 2,5 ; 0,1 ; 0,3 
E06000060;Buckinghamshire; 1.673 ; 3.010 ; 24.181 ; 29.546 ; 9.908 ; 6.811 ; 5.668 ; 1.790 ; 6.744 ; 1.902 ; 5.940 ; 4.984 ; 401.489 ; 6.370 ; 623 ; 550 ; 33.132 ; 1.561 ; 7.196 ; 0,3 ; 0,5 ; 4,4 ; 5,3 ; 1,8 ; 1,2 ; 1,0 ; 0,3 ; 1,2 ; 0,3 ; 1,1 ; 0,9 ; 72,6 ; 1,2 ; 0,1 ; 0,1 ; 6,0 ; 0,3 ; 1,3 
E06000061;North Northamptonshire; 1.104 ; 1.005 ; 7.325 ; 1.029 ; 2.263 ; 6.889 ; 2.473 ; 1.655 ; 1.926 ; 1.320 ; 3.024 ; 1.905 ; 289.274 ; 2.590 ; 365 ; 736 ; 31.699 ; 338 ; 2.603 ; 0,3 ; 0,3 ; 2,0 ; 0,3 ; 0,6 ; 1,9 ; 0,7 ; 0,5 ; 0,5 ; 0,4 ; 0,8 ; 0,5 ; 80,5 ; 0,7 ; 0,1 ; 0,2 ; 8,8 ; 0,1 ; 0,7 
E06000062;West Northamptonshire; 4.660 ; 1.892 ; 9.661 ; 2.916 ; 3.334 ; 14.304 ; 3.647 ; 2.710 ; 2.720 ; 1.797 ; 4.619 ; 2.980 ; 319.509 ; 3.872 ; 340 ; 1.409 ; 40.628 ; 685 ; 4.040 ; 1,1 ; 0,4 ; 2,3 ; 0,7 ; 0,8 ; 3,4 ; 0,9 ; 0,6 ; 0,6 ; 0,4 ; 1,1 ; 0,7 ; 75,1 ; 0,9 ; 0,1 ; 0,3 ; 9,5 ; 0,2 ; 0,9 
E07000008;Cambridge; 2.874 ; 6.362 ; 5.916 ; 1.500 ; 4.974 ; 2.519 ; 639 ; 403 ; 2.987 ; 1.010 ; 1.152 ; 2.261 ; 77.195 ; 1.885 ; 110 ; 885 ; 28.495 ; 1.141 ; 3.366 ; 2,0 ; 4,4 ; 4,1 ; 1,0 ; 3,4 ; 1,7 ; 0,4 ; 0,3 ; 2,1 ; 0,7 ; 0,8 ; 1,6 ; 53,0 ; 1,3 ; 0,1 ; 0,6 ; 19,6 ; 0,8 ; 2,3 
E07000009;East Cambridgeshire; 118 ; 344 ; 537 ; 147 ; 542 ; 460 ; 119 ; 126 ; 618 ; 312 ; 327 ; 626 ; 75.897 ; 664 ; 265 ; 118 ; 5.968 ; 87 ; 488 ; 0,1 ; 0,4 ; 0,6 ; 0,2 ; 0,6 ; 0,5 ; 0,1 ; 0,1 ; 0,7 ; 0,4 ; 0,4 ; 0,7 ; 86,5 ; 0,8 ; 0,3 ; 0,1 ; 6,8 ; 0,1 ; 0,6 
E07000010;Fenland; 72 ; 245 ; 387 ; 85 ; 443 ; 455 ; 223 ; 136 ; 382 ; 220 ; 416 ; 394 ; 88.028 ; 434 ; 593 ; 167 ; 9.058 ; 47 ; 676 ; 0,1 ; 0,2 ; 0,4 ; 0,1 ; 0,4 ; 0,4 ; 0,2 ; 0,1 ; 0,4 ; 0,2 ; 0,4 ; 0,4 ; 85,9 ; 0,4 ; 0,6 ; 0,2 ; 8,8 ; -   ; 0,7 
E07000011;Huntingdonshire; 417 ; 687 ; 1.779 ; 1.261 ; 1.601 ; 1.766 ; 483 ; 397 ; 1.220 ; 636 ; 1.010 ; 1.191 ; 154.089 ; 1.255 ; 272 ; 128 ; 11.372 ; 167 ; 1.101 ; 0,2 ; 0,4 ; 1,0 ; 0,7 ; 0,9 ; 1,0 ; 0,3 ; 0,2 ; 0,7 ; 0,4 ; 0,6 ; 0,7 ; 85,2 ; 0,7 ; 0,2 ; 0,1 ; 6,3 ; 0,1 ; 0,6 
E07000012;South Cambridgeshire; 420 ; 1.956 ; 4.205 ; 857 ; 1.961 ; 1.431 ; 341 ; 247 ; 1.832 ; 600 ; 788 ; 1.371 ; 128.985 ; 1.447 ; 478 ; 175 ; 13.200 ; 414 ; 1.409 ; 0,3 ; 1,2 ; 2,6 ; 0,5 ; 1,2 ; 0,9 ; 0,2 ; 0,2 ; 1,1 ; 0,4 ; 0,5 ; 0,8 ; 79,6 ; 0,9 ; 0,3 ; 0,1 ; 8,1 ; 0,3 ; 0,9 
E07000026;Allerdale; 43 ; 139 ; 103 ; 34 ; 221 ; 59 ; 19 ; 6 ; 241 ; 74 ; 137 ; 175 ; 92.981 ; 241 ; 53 ; 33 ; 1.359 ; 38 ; 197 ; -   ; 0,1 ; 0,1 ; -   ; 0,2 ; 0,1 ; -   ; -   ; 0,3 ; 0,1 ; 0,1 ; 0,2 ; 96,7 ; 0,3 ; 0,1 ; -   ; 1,4 ; -   ; 0,2 
E07000027;Barrow-in-Furness; 59 ; 227 ; 240 ; 54 ; 369 ; 223 ; 14 ; 13 ; 227 ; 67 ; 115 ; 141 ; 64.485 ; 179 ; 21 ; 17 ; 710 ; 85 ; 160 ; 0,1 ; 0,3 ; 0,4 ; 0,1 ; 0,5 ; 0,3 ; -   ; -   ; 0,3 ; 0,1 ; 0,2 ; 0,2 ; 95,7 ; 0,3 ; -   ; -   ; 1,1 ; 0,1 ; 0,2 
E07000028;Carlisle; 179 ; 365 ; 430 ; 133 ; 521 ; 273 ; 42 ; 22 ; 348 ; 186 ; 161 ; 278 ; 102.004 ; 437 ; 188 ; 84 ; 3.795 ; 197 ; 382 ; 0,2 ; 0,3 ; 0,4 ; 0,1 ; 0,5 ; 0,2 ; -   ; -   ; 0,3 ; 0,2 ; 0,1 ; 0,3 ; 92,7 ; 0,4 ; 0,2 ; 0,1 ; 3,4 ; 0,2 ; 0,3 
E07000029;Copeland; 56 ; 122 ; 123 ; 51 ; 195 ; 141 ; 34 ; 10 ; 175 ; 59 ; 99 ; 117 ; 64.851 ; 163 ; 23 ; 11 ; 666 ; 61 ; 119 ; 0,1 ; 0,2 ; 0,2 ; 0,1 ; 0,3 ; 0,2 ; 0,1 ; -   ; 0,3 ; 0,1 ; 0,1 ; 0,2 ; 96,7 ; 0,2 ; -   ; -   ; 1,0 ; 0,1 ; 0,2 
E07000030;Eden; 78 ; 86 ; 133 ; 21 ; 117 ; 50 ; 27 ; 10 ; 134 ; 45 ; 69 ; 120 ; 51.891 ; 203 ; 49 ; 30 ; 1.526 ; 20 ; 128 ; 0,1 ; 0,2 ; 0,2 ; -   ; 0,2 ; 0,1 ; -   ; -   ; 0,2 ; 0,1 ; 0,1 ; 0,2 ; 94,8 ; 0,4 ; 0,1 ; 0,1 ; 2,8 ; -   ; 0,2 
E07000031;South Lakeland; 31 ; 192 ; 165 ; 63 ; 361 ; 120 ; 102 ; 29 ; 363 ; 159 ; 214 ; 298 ; 97.960 ; 446 ; 34 ; 73 ; 3.512 ; 60 ; 268 ; -   ; 0,2 ; 0,2 ; 0,1 ; 0,3 ; 0,1 ; 0,1 ; -   ; 0,3 ; 0,2 ; 0,2 ; 0,3 ; 93,8 ; 0,4 ; -   ; 0,1 ; 3,4 ; 0,1 ; 0,3 
E07000032;Amber Valley; 37 ; 282 ; 496 ; 112 ; 281 ; 180 ; 149 ; 52 ; 467 ; 169 ; 619 ; 293 ; 119.934 ; 453 ; 66 ; 35 ; 2.279 ; 26 ; 274 ; -   ; 0,2 ; 0,4 ; 0,1 ; 0,2 ; 0,1 ; 0,1 ; -   ; 0,4 ; 0,1 ; 0,5 ; 0,2 ; 95,0 ; 0,4 ; 0,1 ; -   ; 1,8 ; -   ; 0,2 
E07000033;Bolsover; 12 ; 152 ; 266 ; 86 ; 206 ; 246 ; 111 ; 62 ; 190 ; 102 ; 288 ; 164 ; 74.852 ; 198 ; 96 ; 34 ; 2.963 ; 42 ; 200 ; -   ; 0,2 ; 0,3 ; 0,1 ; 0,3 ; 0,3 ; 0,1 ; 0,1 ; 0,2 ; 0,1 ; 0,4 ; 0,2 ; 93,3 ; 0,2 ; 0,1 ; -   ; 3,7 ; 0,1 ; 0,2 
E07000034;Chesterfield; 75 ; 363 ; 679 ; 416 ; 417 ; 444 ; 260 ; 135 ; 363 ; 185 ; 594 ; 356 ; 96.392 ; 415 ; 30 ; 38 ; 1.982 ; 83 ; 341 ; 0,1 ; 0,4 ; 0,7 ; 0,4 ; 0,4 ; 0,4 ; 0,3 ; 0,1 ; 0,4 ; 0,2 ; 0,6 ; 0,3 ; 93,1 ; 0,4 ; -   ; -   ; 1,9 ; 0,1 ; 0,3 
E07000035;Derbyshire Dales; 10 ; 117 ; 160 ; 100 ; 131 ; 57 ; 71 ; 41 ; 290 ; 77 ; 172 ; 184 ; 68.326 ; 355 ; 38 ; 9 ; 1.212 ; 47 ; 138 ; -   ; 0,2 ; 0,2 ; 0,1 ; 0,2 ; 0,1 ; 0,1 ; 0,1 ; 0,4 ; 0,1 ; 0,2 ; 0,3 ; 95,5 ; 0,5 ; 0,1 ; -   ; 1,7 ; 0,1 ; 0,2 
E07000036;Erewash; 44 ; 320 ; 921 ; 149 ; 354 ; 347 ; 405 ; 119 ; 518 ; 198 ; 979 ; 353 ; 104.400 ; 532 ; 38 ; 60 ; 2.739 ; 62 ; 370 ; -   ; 0,3 ; 0,8 ; 0,1 ; 0,3 ; 0,3 ; 0,4 ; 0,1 ; 0,5 ; 0,2 ; 0,9 ; 0,3 ; 92,5 ; 0,5 ; -   ; 0,1 ; 2,4 ; 0,1 ; 0,3 
E07000037;High Peak; 7 ; 221 ; 140 ; 77 ; 249 ; 119 ; 70 ; 34 ; 377 ; 163 ; 346 ; 299 ; 86.183 ; 639 ; 20 ; 12 ; 1.760 ; 30 ; 189 ; -   ; 0,2 ; 0,2 ; 0,1 ; 0,3 ; 0,1 ; 0,1 ; -   ; 0,4 ; 0,2 ; 0,4 ; 0,3 ; 94,8 ; 0,7 ; -   ; -   ; 1,9 ; -   ; 0,2 
E07000038;North East Derbyshire; 20 ; 216 ; 327 ; 110 ; 279 ; 170 ; 107 ; 47 ; 372 ; 141 ; 421 ; 236 ; 97.657 ; 306 ; 45 ; 15 ; 1.344 ; 23 ; 167 ; -   ; 0,2 ; 0,3 ; 0,1 ; 0,3 ; 0,2 ; 0,1 ; -   ; 0,4 ; 0,1 ; 0,4 ; 0,2 ; 95,7 ; 0,3 ; -   ; -   ; 1,3 ; -   ; 0,2 
E07000039;South Derbyshire; 29 ; 287 ; 2.630 ; 401 ; 494 ; 465 ; 294 ; 96 ; 616 ; 189 ; 786 ; 343 ; 96.634 ; 437 ; 72 ; 50 ; 2.643 ; 88 ; 652 ; -   ; 0,3 ; 2,5 ; 0,4 ; 0,5 ; 0,4 ; 0,3 ; 0,1 ; 0,6 ; 0,2 ; 0,7 ; 0,3 ; 90,1 ; 0,4 ; 0,1 ; -   ; 2,5 ; 0,1 ; 0,6 
E07000040;East Devon; 181 ; 304 ; 273 ; 28 ; 673 ; 202 ; 99 ; 47 ; 624 ; 223 ; 387 ; 486 ; 142.011 ; 710 ; 147 ; 56 ; 3.923 ; 89 ; 360 ; 0,1 ; 0,2 ; 0,2 ; -   ; 0,4 ; 0,1 ; 0,1 ; -   ; 0,4 ; 0,1 ; 0,3 ; 0,3 ; 94,2 ; 0,5 ; 0,1 ; -   ; 2,6 ; 0,1 ; 0,2 
E07000041;Exeter; 513 ; 2.020 ; 1.588 ; 274 ; 1.980 ; 893 ; 137 ; 107 ; 1.305 ; 484 ; 503 ; 1.016 ; 108.095 ; 875 ; 100 ; 181 ; 8.783 ; 802 ; 1.051 ; 0,4 ; 1,5 ; 1,2 ; 0,2 ; 1,5 ; 0,7 ; 0,1 ; 0,1 ; 1,0 ; 0,4 ; 0,4 ; 0,8 ; 82,7 ; 0,7 ; 0,1 ; 0,1 ; 6,7 ; 0,6 ; 0,8 
E07000042;Mid Devon; 24 ; 182 ; 168 ; 15 ; 173 ; 63 ; 22 ; 16 ; 319 ; 122 ; 194 ; 264 ; 77.699 ; 326 ; 142 ; 47 ; 2.854 ; 33 ; 190 ; -   ; 0,2 ; 0,2 ; -   ; 0,2 ; 0,1 ; -   ; -   ; 0,4 ; 0,1 ; 0,2 ; 0,3 ; 93,8 ; 0,4 ; 0,2 ; 0,1 ; 3,4 ; -   ; 0,2 
E07000043;North Devon; 87 ; 191 ; 324 ; 90 ; 443 ; 179 ; 80 ; 66 ; 417 ; 136 ; 297 ; 324 ; 92.944 ; 387 ; 58 ; 54 ; 2.196 ; 82 ; 257 ; 0,1 ; 0,2 ; 0,3 ; 0,1 ; 0,4 ; 0,2 ; 0,1 ; 0,1 ; 0,4 ; 0,1 ; 0,3 ; 0,3 ; 94,3 ; 0,4 ; 0,1 ; 0,1 ; 2,2 ; 0,1 ; 0,3 
E07000044;South Hams; 34 ; 158 ; 175 ; 35 ; 212 ; 71 ; 61 ; 17 ; 413 ; 107 ; 210 ; 318 ; 83.481 ; 456 ; 81 ; 51 ; 2.358 ; 147 ; 243 ; -   ; 0,2 ; 0,2 ; -   ; 0,2 ; 0,1 ; 0,1 ; -   ; 0,5 ; 0,1 ; 0,2 ; 0,4 ; 94,2 ; 0,5 ; 0,1 ; 0,1 ; 2,7 ; 0,2 ; 0,3 
E07000045;Teignbridge; 111 ; 251 ; 190 ; 34 ; 418 ; 136 ; 51 ; 29 ; 568 ; 190 ; 313 ; 493 ; 127.937 ; 575 ; 131 ; 39 ; 2.986 ; 68 ; 282 ; 0,1 ; 0,2 ; 0,1 ; -   ; 0,3 ; 0,1 ; -   ; -   ; 0,4 ; 0,1 ; 0,2 ; 0,4 ; 94,9 ; 0,4 ; 0,1 ; -   ; 2,2 ; 0,1 ; 0,2 
E07000046;Torridge; 12 ; 110 ; 66 ; 13 ; 155 ; 31 ; 31 ; 13 ; 250 ; 65 ; 149 ; 166 ; 65.452 ; 288 ; 54 ; 16 ; 1.110 ; 19 ; 114 ; -   ; 0,2 ; 0,1 ; -   ; 0,2 ; -   ; -   ; -   ; 0,4 ; 0,1 ; 0,2 ; 0,2 ; 96,1 ; 0,4 ; 0,1 ; -   ; 1,6 ; -   ; 0,2 
E07000047;West Devon; 18 ; 97 ; 70 ; 10 ; 142 ; 68 ; 26 ; 28 ; 223 ; 66 ; 113 ; 224 ; 54.196 ; 271 ; 40 ; 34 ; 1.306 ; 44 ; 118 ; -   ; 0,2 ; 0,1 ; -   ; 0,2 ; 0,1 ; -   ; -   ; 0,4 ; 0,1 ; 0,2 ; 0,4 ; 94,9 ; 0,5 ; 0,1 ; 0,1 ; 2,3 ; 0,1 ; 0,2 
E07000061;Eastbourne; 466 ; 550 ; 906 ; 170 ; 1.452 ; 883 ; 259 ; 166 ; 812 ; 508 ; 659 ; 823 ; 83.465 ; 960 ; 77 ; 136 ; 7.704 ; 445 ; 1.239 ; 0,5 ; 0,5 ; 0,9 ; 0,2 ; 1,4 ; 0,9 ; 0,3 ; 0,2 ; 0,8 ; 0,5 ; 0,6 ; 0,8 ; 82,1 ; 0,9 ; 0,1 ; 0,1 ; 7,6 ; 0,4 ; 1,2 
E07000062;Hastings; 343 ; 366 ; 595 ; 125 ; 1.107 ; 782 ; 304 ; 176 ; 724 ; 404 ; 758 ; 753 ; 77.418 ; 780 ; 128 ; 164 ; 4.701 ; 330 ; 1.037 ; 0,4 ; 0,4 ; 0,7 ; 0,1 ; 1,2 ; 0,9 ; 0,3 ; 0,2 ; 0,8 ; 0,4 ; 0,8 ; 0,8 ; 85,1 ; 0,9 ; 0,1 ; 0,2 ; 5,2 ; 0,4 ; 1,1 
E07000063;Lewes; 249 ; 376 ; 482 ; 98 ; 694 ; 436 ; 182 ; 104 ; 795 ; 405 ; 531 ; 730 ; 88.830 ; 811 ; 100 ; 67 ; 4.293 ; 186 ; 540 ; 0,2 ; 0,4 ; 0,5 ; 0,1 ; 0,7 ; 0,4 ; 0,2 ; 0,1 ; 0,8 ; 0,4 ; 0,5 ; 0,7 ; 88,9 ; 0,8 ; 0,1 ; 0,1 ; 4,3 ; 0,2 ; 0,5 
E07000064;Rother; 118 ; 265 ; 427 ; 27 ; 553 ; 344 ; 163 ; 54 ; 568 ; 265 ; 421 ; 448 ; 85.362 ; 782 ; 168 ; 47 ; 2.634 ; 126 ; 342 ; 0,1 ; 0,3 ; 0,5 ; -   ; 0,6 ; 0,4 ; 0,2 ; 0,1 ; 0,6 ; 0,3 ; 0,5 ; 0,5 ; 91,7 ; 0,8 ; 0,2 ; 0,1 ; 2,8 ; 0,1 ; 0,4 
E07000065;Wealden; 246 ; 437 ; 712 ; 83 ; 772 ; 371 ; 196 ; 79 ; 1.060 ; 389 ; 524 ; 736 ; 146.968 ; 1.092 ; 397 ; 104 ; 5.248 ; 158 ; 580 ; 0,2 ; 0,3 ; 0,4 ; 0,1 ; 0,5 ; 0,2 ; 0,1 ; -   ; 0,7 ; 0,2 ; 0,3 ; 0,5 ; 91,8 ; 0,7 ; 0,2 ; 0,1 ; 3,3 ; 0,1 ; 0,4 
E07000066;Basildon; 729 ; 735 ; 3.855 ; 864 ; 1.812 ; 6.402 ; 1.279 ; 1.232 ; 1.143 ; 892 ; 1.733 ; 1.170 ; 154.045 ; 1.227 ; 237 ; 281 ; 8.326 ; 243 ; 1.362 ; 0,4 ; 0,4 ; 2,1 ; 0,5 ; 1,0 ; 3,4 ; 0,7 ; 0,7 ; 0,6 ; 0,5 ; 0,9 ; 0,6 ; 82,1 ; 0,7 ; 0,1 ; 0,1 ; 4,4 ; 0,1 ; 0,7 
E07000067;Braintree; 221 ; 365 ; 834 ; 229 ; 917 ; 1.205 ; 442 ; 242 ; 880 ; 437 ; 844 ; 853 ; 140.283 ; 1.085 ; 161 ; 67 ; 5.385 ; 106 ; 709 ; 0,1 ; 0,2 ; 0,5 ; 0,1 ; 0,6 ; 0,8 ; 0,3 ; 0,2 ; 0,6 ; 0,3 ; 0,5 ; 0,5 ; 90,4 ; 0,7 ; 0,1 ; -   ; 3,5 ; 0,1 ; 0,5 
E07000068;Brentwood; 293 ; 510 ; 2.015 ; 267 ; 828 ; 1.164 ; 368 ; 215 ; 809 ; 321 ; 633 ; 605 ; 63.696 ; 1.008 ; 95 ; 77 ; 3.318 ; 166 ; 660 ; 0,4 ; 0,7 ; 2,6 ; 0,3 ; 1,1 ; 1,5 ; 0,5 ; 0,3 ; 1,0 ; 0,4 ; 0,8 ; 0,8 ; 82,7 ; 1,3 ; 0,1 ; 0,1 ; 4,3 ; 0,2 ; 0,9 
E07000069;Castle Point; 189 ; 264 ; 541 ; 164 ; 392 ; 827 ; 190 ; 162 ; 419 ; 155 ; 512 ; 360 ; 82.997 ; 528 ; 31 ; 32 ; 1.393 ; 32 ; 394 ; 0,2 ; 0,3 ; 0,6 ; 0,2 ; 0,4 ; 0,9 ; 0,2 ; 0,2 ; 0,5 ; 0,2 ; 0,6 ; 0,4 ; 92,6 ; 0,6 ; -   ; -   ; 1,6 ; -   ; 0,4 
E07000070;Chelmsford; 841 ; 1.133 ; 4.728 ; 1.124 ; 1.820 ; 3.373 ; 796 ; 587 ; 1.438 ; 722 ; 1.354 ; 1.210 ; 150.758 ; 1.536 ; 255 ; 147 ; 8.005 ; 384 ; 1.312 ; 0,5 ; 0,6 ; 2,6 ; 0,6 ; 1,0 ; 1,9 ; 0,4 ; 0,3 ; 0,8 ; 0,4 ; 0,7 ; 0,7 ; 83,1 ; 0,8 ; 0,1 ; 0,1 ; 4,4 ; 0,2 ; 0,7 
E07000071;Colchester; 767 ; 1.834 ; 3.027 ; 743 ; 3.536 ; 4.904 ; 961 ; 796 ; 1.659 ; 982 ; 1.428 ; 1.533 ; 155.488 ; 1.192 ; 175 ; 244 ; 10.602 ; 731 ; 2.114 ; 0,4 ; 1,0 ; 1,6 ; 0,4 ; 1,8 ; 2,5 ; 0,5 ; 0,4 ; 0,9 ; 0,5 ; 0,7 ; 0,8 ; 80,7 ; 0,6 ; 0,1 ; 0,1 ; 5,5 ; 0,4 ; 1,1 
E07000072;Epping Forest; 703 ; 785 ; 4.712 ; 1.930 ; 1.548 ; 1.941 ; 1.438 ; 553 ; 1.306 ; 588 ; 1.481 ; 1.521 ; 101.994 ; 1.657 ; 142 ; 160 ; 9.516 ; 330 ; 2.675 ; 0,5 ; 0,6 ; 3,5 ; 1,4 ; 1,1 ; 1,4 ; 1,1 ; 0,4 ; 1,0 ; 0,4 ; 1,1 ; 1,1 ; 75,6 ; 1,2 ; 0,1 ; 0,1 ; 7,0 ; 0,2 ; 2,0 
E07000073;Harlow; 740 ; 817 ; 1.613 ; 1.197 ; 1.188 ; 4.156 ; 909 ; 762 ; 623 ; 587 ; 1.051 ; 787 ; 67.993 ; 743 ; 182 ; 193 ; 8.103 ; 301 ; 1.385 ; 0,8 ; 0,9 ; 1,7 ; 1,3 ; 1,3 ; 4,5 ; 1,0 ; 0,8 ; 0,7 ; 0,6 ; 1,1 ; 0,8 ; 72,9 ; 0,8 ; 0,2 ; 0,2 ; 8,7 ; 0,3 ; 1,5 
E07000074;Maldon; 143 ; 127 ; 224 ; 36 ; 211 ; 119 ; 76 ; 41 ; 328 ; 107 ; 230 ; 232 ; 62.268 ; 439 ; 176 ; 44 ; 1.202 ; 16 ; 192 ; 0,2 ; 0,2 ; 0,3 ; 0,1 ; 0,3 ; 0,2 ; 0,1 ; 0,1 ; 0,5 ; 0,2 ; 0,3 ; 0,4 ; 94,0 ; 0,7 ; 0,3 ; 0,1 ; 1,8 ; -   ; 0,3 
